Item_English,hierarchy_level,Q5,Q4,Q3,Q2,Q1,Total
Households in sample,1,1162.0,1087.0,1061.0,1116.0,1052.0,5478.0
Households in population (thousands),1,584.5,583.9,584.2,584.1,583.9,2920.8
Average persons in household,1,2.56,2.93,3.08,3.2,4.09,3.17
Average standard persons in household,1,2.3,2.52,2.6,2.65,3.13,2.64
Average earners in household,1,1.58,1.66,1.53,1.28,0.98,1.41
Average age of economic head of  household,2,54.0,49.7,47.8,47.9,42.2,48.4
Average years of schooling of economic head of  household,2,15.8,14.7,14.0,13.6,12.9,14.2
Net income per household,1,38717.0,25649.0,19338.0,13968.0,9037.0,21345.0
Net income per standard person,1,16824.0,10162.0,7448.0,5264.0,2890.0,8084.0
Net money income per household,1,33591.0,21775.0,16506.0,11791.0,7510.0,18237.0
Net money income per person,1,13100.0,7431.0,5367.0,3684.0,1837.0,5750.0
Money expenditure per household,1,20076.0,15813.0,13681.0,12078.0,10979.0,14526.0
Money expenditure per person,1,7829.0,5396.0,4448.0,3774.0,2685.0,4580.0
Median of  gross money income per household,2,37960.0,24437.0,17867.0,12293.0,7427.0,16470.0
Gross money income – total,1,44358.0,26117.0,18765.0,12813.0,7994.0,22013.0
From work,1,33128.0,21043.0,15124.0,9517.0,5281.0,16821.0
From wages and salary,1,27714.0,17557.0,13000.0,8171.0,4460.0,14182.0
From self-employment and occasional work,1,5415.0,3486.0,2124.0,1346.0,821.0,2639.0
From capital,1,3593.0,773.0,374.0,207.0,111.0,1012.0
From pensions and social insurance funds,1,4478.0,1767.0,657.0,353.0,63.0,1464.0
From allowances and assistance,1,3158.0,2534.0,2609.0,2736.0,2539.0,2715.0
From National Insurance Institute,1,2232.0,1992.0,2011.0,2162.0,1882.0,2056.0
From other institutions in Israel,1,548.0,241.0,296.0,282.0,393.0,352.0
From households and other,1,,302.0,303.0,292.0,264.0,308.0
Compulsory payments – total,1,10767.0,4341.0,2259.0,1023.0,484.0,3776.0
Income tax,1,7852.0,2516.0,1083.0,356.0,83.0,2379.0
National insurance payments,1,1639.0,978.0,584.0,290.0,143.0,727.0
National health insurance,0,1276.0,848.0,592.0,376.0,257.0,670.0
Transfers to other households(1),1,1245.0,440.0,282.0,245.0,128.0,468.0
Consumption expenditures – total,0,25115.0,19644.0,16492.0,14247.0,12495.0,17600.0
Food (excl. vegetables and fruit),0,2930.0,2640.0,2464.0,2387.0,2332.0,2551.0
"Bread, cereals, and pastry products",2,343.6,372.0,368.7,389.3,383.4,371.4
Thereof:,1,,,,,,
Standard bread,1,,,,,2.5,1.0
Sliced bread,1,3.0,3.4,7.3,9.4,13.8,7.4
Special bread,1,38.1,30.2,31.6,26.8,26.4,30.6
"Sabbath loaf, standard and sweet",2,10.8,11.5,10.7,13.6,10.5,11.4
Rolls and bagels,1,22.1,20.9,21.5,23.7,21.4,21.9
Pitta (oriental bread),1,17.4,20.5,23.7,32.9,43.3,27.5
White flour,1,4.0,6.5,8.8,11.3,8.3,7.8
"Whole wheat flour, spelt, rye, and other",2,4.7,2.8,5.6,,,6.0
Bread crumbs,1,3.6,4.5,4.4,2.8,2.0,3.5
"Wheat groats, quinoa, wheat, and millet(2)",2,1.6,,1.8,2.0,1.4,1.7
Oatmeal,1,2.9,2.6,2.1,2.3,,2.2
Couscous,1,1.6,1.6,1.6,1.9,1.4,1.6
Semolina,1,,,1.0,,,0.9
Rice,1,11.0,12.1,14.3,20.0,30.3,17.5
Cakes,1,30.0,39.8,29.8,24.9,23.9,29.7
Cookies and biscuits,1,33.4,34.0,35.8,40.9,38.3,36.5
Wafers,1,5.4,8.2,8.5,8.2,7.3,7.5
Salty snacks,1,15.3,21.1,22.6,24.3,31.1,22.9
Bagels,1,4.7,4.4,4.2,3.2,5.0,4.3
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Bread, cereals, and pastry products (cont.)",2,,,,,,
Peanut snacks,1,5.2,7.9,8.3,8.5,6.8,7.4
Potato snacks,1,8.3,7.9,8.9,9.5,10.3,9.0
Crackers,1,8.7,8.9,6.0,6.4,5.1,7.0
Healthy snacks,0,9.9,7.6,7.7,5.3,2.4,6.6
Frozen dough,1,7.4,5.0,4.4,3.3,3.0,4.6
Yemeni bread,1,2.4,3.1,5.0,2.6,,3.0
Pastry products – frozen(3),1,3.0,3.4,3.7,4.4,,3.4
Frozen pizza(4),1,4.4,5.4,5.2,7.2,6.6,5.8
Ravioli(4),1,2.9,,3.6,,,2.3
Pastry products – not frozen(3),1,25.8,37.5,27.2,26.8,22.7,28.0
Other pastry and grain products – frozen(3),2,3.5,,2.9,,,3.0
Noodles and pasta,1,16.9,16.2,15.4,14.3,15.5,15.7
Breakfast cereals,1,12.6,18.8,16.4,18.8,14.8,16.3
Soup mandels and croutons,1,5.3,3.3,4.3,3.2,3.3,3.9
Rice crispies,1,6.0,4.1,5.0,3.4,3.7,4.4
Popcorn,1,2.5,2.3,2.1,1.6,1.8,2.0
Vegetable oils and their products,1,53.3,52.3,58.6,80.2,63.8,61.7
Olive oil,1,18.7,14.1,,38.5,17.3,22.7
Sunflower oil(5),1,,3.4,2.5,3.5,,2.8
Canola oil,1,12.8,18.7,15.0,14.7,16.3,15.5
Corn oil(5),1,,,,3.8,8.0,2.8
Margarine,1,1.3,1.8,1.4,1.7,1.9,1.6
Mayonnaise,1,5.5,6.0,5.9,5.4,4.2,5.4
Sesame oil (tahina),1,9.7,5.8,5.9,7.0,7.3,7.2
Meat and poultry,1,392.6,456.7,518.7,504.4,582.0,490.9
Thereof:,1,,,,,,
Beef(6),1,130.3,166.4,140.8,146.2,165.1,149.7
"Beef, minced(7)",2,33.4,34.3,54.4,38.6,51.5,42.5
Lamb and goat meat,1,,,,49.0,98.8,42.3
Beef liver and internal parts,1,,,,,,4.5
Whole chicken and turkey(8),1,19.8,21.8,39.4,64.1,103.9,49.8
Chicken and turkey breast,1,61.7,62.7,74.6,54.6,42.3,59.2
Chicken and turkey – minced,1,,7.5,,,,4.0
Chicken leg quarters,1,33.7,38.2,37.6,37.0,20.7,33.4
Chicken and turkey liver,1,2.8,3.6,3.3,3.1,,3.1
"Meat roll, shwarma, chicken and turkey pieces",2,32.8,31.7,32.2,25.2,16.5,27.7
Other parts of chicken and turkey,1,8.1,9.7,9.1,11.3,9.7,9.6
Sausage and pastrami(9),1,26.2,32.1,33.8,31.7,24.9,29.7
Hot dogs,1,9.0,11.2,11.4,13.4,8.8,10.8
Meat and poultry products – frozen,1,15.0,11.8,18.9,11.1,12.2,13.8
Fish,1,135.6,151.1,101.8,116.3,84.5,117.9
"Fish, domestically grown(10)",2,31.4,35.0,19.4,28.2,15.2,25.9
"Fish, grown abroad(11)",2,47.7,61.5,38.2,36.9,22.5,41.4
Preserved fish,1,20.9,21.7,18.1,17.4,17.7,19.2
Processed fish,1,7.8,7.5,6.8,6.1,4.5,6.5
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
"Milk, milk products, and eggs",2,387.4,362.6,352.9,329.6,301.8,346.9
Thereof:,1,,,,,,
Pasteurized milk,1,31.9,34.8,41.4,48.5,62.3,43.8
Other milk,1,7.9,9.5,8.9,4.7,,6.6
"Chocolate drink, cocoa, and coffee",2,6.1,7.3,8.2,7.9,11.1,8.1
Butter,1,13.7,10.4,10.0,8.6,6.1,9.8
Sour milk products and yogurt,1,45.0,34.5,38.7,35.1,35.9,37.8
Milk and cheese delicacies,1,27.3,32.9,36.4,32.3,26.3,31.0
Sour cream,1,4.4,5.4,5.7,6.8,7.2,5.9
Sweet cream,1,8.5,12.1,9.7,8.6,6.5,9.1
Hard cheese,1,69.6,59.0,54.7,44.7,34.1,52.4
Processed cheese,1,3.5,3.9,,2.1,,2.6
Soft white cheese,1,32.3,33.5,31.3,30.9,27.7,31.1
Cottage cheese,1,19.0,17.7,15.2,11.2,8.5,14.3
Brined cheese,1,35.7,27.6,17.4,18.2,10.1,21.8
Ice cream and popsicles,1,31.9,26.7,18.1,19.1,19.0,23.0
Eggs,1,35.7,36.7,39.6,44.4,37.2,38.7
Organic eggs,1,8.3,5.0,,,,3.9
Sugar and sugar products,1,89.9,82.4,96.2,97.0,102.9,93.7
Thereof:,1,,,,,,
Sugar,1,4.4,5.1,7.6,8.5,13.7,7.9
Jam and confiture,1,2.7,3.2,2.3,2.0,,2.3
Honey,1,4.5,4.0,5.1,4.7,3.7,4.4
Candies,1,9.0,10.2,10.8,9.7,9.1,9.8
Halvah,1,2.5,1.8,2.1,1.5,2.4,2.1
Chocolate and chocolate-boxes,1,37.3,37.0,31.3,28.2,27.4,32.2
Other sweets,1,14.4,8.1,22.6,26.7,32.3,20.8
Chocolate spread and cocoa spread,1,4.7,3.6,5.5,8.0,8.2,6.0
Dried fruit spreads,1,4.3,3.4,,,2.0,3.5
Soft drinks,1,67.6,76.4,81.7,93.6,120.9,88.0
Soda water,1,3.1,3.1,3.0,4.6,3.5,3.5
Malt beer,1,,,,,,0.8
"Soft drinks, non-carbonated",2,14.5,17.7,22.0,28.8,33.3,23.3
"Soft drinks, carbonated",2,25.6,32.9,34.6,36.1,55.7,37.0
Mineral water,1,16.8,16.7,12.2,16.8,15.8,15.7
Sweet concentrates,1,4.1,3.3,5.7,3.4,5.6,4.4
Energy drinks,1,,2.3,3.7,2.6,6.1,3.5
Alcoholic beverages,1,100.6,66.4,46.0,43.0,34.3,58.1
Thereof:,1,,,,,,
Wine,1,52.7,35.5,20.5,15.9,19.9,28.9
Beer,1,16.8,17.3,10.5,9.4,5.0,11.8
"Brandy, liqueur, cognac, and other alcoholic beverages",2,,,13.7,,,15.3
Meals away from home,1,920.8,615.1,422.9,326.0,209.7,499.0
Thereof:,1,,,,,,
At work,1,31.9,38.2,20.3,,,20.0
At restaurants,1,588.2,335.1,241.0,170.9,99.9,287.1
At coffee shops,1,132.4,91.9,48.8,27.4,18.3,63.7
At kiosks and cafeterias,1,53.4,53.5,35.5,39.4,29.1,42.2
At pubs,1,,,,,,8.3
At fast food restaurants,1,102.2,88.6,69.3,75.0,50.5,77.1
Miscellaneous food products,0,438.1,405.3,416.1,407.7,448.5,423.1
Thereof:,1,,,,,,
Tea,1,9.8,12.0,10.5,9.1,9.6,10.2
Regular coffee,1,16.1,20.0,15.1,26.9,26.4,20.9
Instant coffee,1,14.3,10.0,14.5,9.6,10.4,11.8
Cocoa powder,1,,,2.2,2.2,2.1,1.9
Salt,1,1.5,1.7,3.1,2.9,3.1,2.5
"(SPECIFIED COMMODITIES) OF HOUSEHOLDS,",2,,,,,,
BY QUINTILE OF NET INCOME,1,,,,,,
PER STANDARD PERSON (Cont.),1,,,,,,
Miscellaneous food products (cont.),1,,,,,,
Baking materials,1,2.8,3.7,2.3,3.5,2.4,2.9
Prepared sauces for pasta and salad,1,14.6,10.5,11.2,7.0,6.1,9.9
Vinegar,1,1.8,2.3,1.6,1.3,0.9,1.6
Mustard,1,1.6,,,,,0.9
Ketchup,1,2.1,3.2,3.9,3.5,4.0,3.3
Spices,1,12.7,15.9,14.3,15.0,15.6,14.7
"Poppy seeds, sesame seeds, and minced coconut",2,2.3,2.0,,0.9,1.0,1.4
Powdered soup and sauces,1,5.9,6.1,4.5,3.7,4.7,5.0
"Pudding mix, gelatin",2,2.6,2.2,2.1,2.4,3.0,2.5
Chewing gum,1,4.6,3.6,2.8,2.5,2.4,3.2
Baby formula,1,,,16.5,23.7,,25.1
"Beans, dried",2,1.9,1.5,1.6,1.6,1.7,1.7
Chick-peas,1,1.3,2.3,,2.4,,1.8
Dry fava beans and lentils(12),1,2.4,2.1,1.9,2.4,2.0,2.2
Instant meals (not frozen),1,2.8,3.4,2.8,,2.1,3.2
Food home delivery,0,,,,,,18.3
Fresh ready made food,1,73.0,35.7,,22.1,15.6,33.7
Meat substitutes and vegetarian products,1,12.7,13.3,7.8,6.4,7.1,9.5
Cheese or milk substitutes(13),1,13.0,9.6,11.2,4.7,4.1,8.5
Coffee capsules,1,17.9,,,,,9.2
"Coconut milk, cream, and water",2,2.5,1.9,,,,1.3
Almond milk,1,1.9,,,,,1.8
Vegetables and fruit,1,696.8,609.8,557.0,594.9,597.8,611.3
Potatoes and sweet potatoes,1,27.6,27.6,24.2,29.1,31.1,27.9
"Vegetables, fresh",2,255.7,221.2,193.8,217.4,226.9,223.0
Thereof:,1,,,,,,
Onions and scallions,1,15.5,13.2,12.9,14.3,15.7,14.3
Garlic,1,5.2,5.2,4.4,6.9,5.0,5.4
Carrots,1,6.4,4.8,5.3,5.1,6.3,5.6
Lettuce,1,13.5,10.1,7.5,7.1,5.0,8.6
Eggplants,1,5.6,5.8,5.3,5.5,7.4,5.9
Cabbage,1,6.3,6.0,5.3,7.1,8.0,6.5
Cauliflower,1,6.6,5.2,2.9,5.5,6.2,5.3
Cucumbers,1,22.5,19.1,18.7,21.0,22.4,20.8
Beetroot,1,2.8,2.8,2.4,2.6,0.9,2.3
Tomatoes,1,43.9,35.1,31.4,33.1,33.8,35.5
Green and red peppers,1,20.9,17.3,14.5,14.1,11.7,15.7
