category,physical_pct,online_israel_pct,online_abroad_pct
ספרייה,81.5,18.5,0.0
מיטות,85.7,14.2,0.0
שולחן כתיבה,75.0,25.0,0.0
מיטת תינוק,87.6,12.4,1.4
כיסא אוכל,82.5,17.5,0.0
שולחן גינה,70.0,30.0,0.0
כיסאות גן,83.3,16.7,0.0
מקרר,86.1,13.9,0.0
מדיח כלים,90.9,9.1,0.0
"מערבל חשמלי, מעבד מזון, מטחנה",80.8,17.9,3.3
מכשיר לצליית מזון,90.2,9.1,0.0
"סיר חשמלי, מחבת חשמלית",80.5,18.7,2.9
מייבש כביסה,87.5,12.5,0.0
מכונת כביסה,84.9,15.1,0.0
שואב אבק,66.8,31.7,0.7
"מכונת קפה, מטחנת קפה",63.9,30.3,2.2
מצעים,88.8,11.1,2.1
תמונות,66.6,26.9,11.1
אחוזים,0.0,2022.0,0.0
הלבשה עליונה לגברים,87.9,7.1,4.4
חולצה לגבר,86.6,7.5,4.94272012359826
מכנסיים לגבר,86.8,8.0,4.8
מעיל לגבר,88.8,6.3,1.5
"סוודר, אפודה לגבר",87.5,10.3,9.4
הלבשה עליונה לנשים,79.7,14.1,10.1
חולצה לאישה,79.4,14.0,11.0
מכנסיים לאישה,77.9,15.2,10.0
מעיל לאישה,72.3,18.3,9.5
"סוודר, אפודה לאישה",73.1,15.3,12.2
הלבשה עליונה לילדים,88.1,9.9,5.9
חולצה לילדים,86.9,10.9,6.3
מכנסיים לילדים,87.3,11.0,7.0
מעיל לילדים,88.9,10.2,5.7
"סוודר, אפודה לילד",83.7,12.5,5.3
הנעלה,85.5,9.1,4.3
נעלי ספורט לאשה,81.0,9.7,5.1
נעלי ספורט לגבר,83.2,11.2,4.9
נעלי ספורט לילדים,89.7,7.7,2.7
אחוזים,0.0,2022.0,0.0
מערכת סטראופונית,75.6,19.0,10.1
טלוויזיה,77.4,22.6,0.0
כלי נגינה,86.3,10.9,2.7
אוזניות,69.3,27.0,12.0
שלטים,82.7,16.2,2.0
משקלות/קפיצים/מתח,80.5,19.5,3.3
מחשב ביתי,73.0,25.6,9.9
"מדפסת, סורק, פקס",67.0,33.0,0.0
אביזרי מחשב,74.9,25.1,13.0
"תוכנות, משחקי מחשב",28.2,69.9,29.8
דיו למדפסת,71.2,28.8,3.6
מחשב לוח (טאבלט),79.9,16.7,1.1
מצלמת רכב קדמית/אחורית,53.2,46.8,36.8
"תליון, שרשרת",82.9,12.4,1.8
שעון יד לאישה,81.7,13.5,4.4
שעון יד לגבר,55.7,34.6,25.0
עגילים,83.4,13.1,2.2
שעון חכם,70.9,21.4,4.1
