segment_code,hebrew_name,english_name,source
281,יהודה והשומרון,Judea & Samaria,CBS Table 10 - Verified 2024-11-22
471,באר שבע,Be'er Sheva,CBS Table 10 - Verified 2024-11-22
405,אשקלון,Ashqelon,CBS Table 10 - Verified 2024-11-22
117,חולון,Holon,CBS Table 10 - Verified 2024-11-22
132,רמת גן,Ramat Gan,CBS Table 10 - Verified 2024-11-22
218,תל אביב,Tel Aviv,CBS Table 10 - Verified 2024-11-22
362,רחובות,Rehovot,CBS Table 10 - Verified 2024-11-22
260,רמלה,Ramla,CBS Table 10 - Verified 2024-11-22
230,פתח תקווה,Petah Tiqwa,CBS Table 10 - Verified 2024-11-22
143,השרון,Sharon,CBS Table 10 - Verified 2024-11-22
323,חדרה,Hadera,CBS Table 10 - Verified 2024-11-22
551,חיפה,Haifa,CBS Table 10 - Verified 2024-11-22
481,עכו,Akko,CBS Table 10 - Verified 2024-11-22
421,יזרעאל,Yizre'el,CBS Table 10 - Verified 2024-11-22
200,"צפת, כנרת וגולן","Zefat, Kinneret & Golan",CBS Table 10 - Verified 2024-11-22
883,ירושלים,Jerusalem,CBS Table 10 - Verified 2024-11-22
