segment_type,segment_value,segment_order,item_name,expenditure_value,is_income_metric,is_consumption_metric
Country of Birth,325,325,Alcoholic beverages,90.0,False,False
Country of Birth,325,325,Average age of economic head of household,44.2,False,False
Country of Birth,325,325,Average earners in household,1.45,False,False
Country of Birth,325,325,Average persons in household,3.26,False,False
Country of Birth,325,325,Average standard persons in household,2.69,False,False
Country of Birth,325,325,Average years of schooling of economic head of  household,14.3,False,False
Country of Birth,325,325,Bedding and towels,41.0,False,False
Country of Birth,325,325,"Bread, cereals, and pastry products",406.0,False,False
Country of Birth,325,325,Children's and babies' outerwear,75.0,False,False
Country of Birth,325,325,Clothing and footwear,597.0,False,False
Country of Birth,325,325,Compulsory payments – total,2890.0,False,False
Country of Birth,325,325,Consumption expenditures – total,16498.0,False,False
Country of Birth,325,325,Consumption of housing services ,2127.0,False,False
Country of Birth,325,325,Dental treatment,117.0,False,False
Country of Birth,325,325,Dwelling and household maintenance,1413.0,False,False
Country of Birth,325,325,Education services,977.0,False,False
Country of Birth,325,325,"Education, culture, and entertainment",2072.0,False,False
Country of Birth,325,325,"Electricity, gas and fuel for dwelling",390.0,False,False
Country of Birth,325,325,Entertainment durable goods  ,101.0,False,False
Country of Birth,325,325,Expenditures on vehicles  ,1439.0,False,False
Country of Birth,325,325,Fish,137.0,False,False
Country of Birth,325,325,Food (excl. vegetables and fruit),2425.0,False,False
Country of Birth,325,325,Footwear,141.0,False,False
Country of Birth,325,325,From National Insurance Institute,1320.0,False,False
Country of Birth,325,325,From allowances and assistance,2739.0,False,False
Country of Birth,325,325,From capital,345.0,False,False
Country of Birth,325,325,From other institutions in Israel,440.0,False,False
Country of Birth,325,325,From self-employment and occasional work,1955.0,False,False
Country of Birth,325,325,From wages and salary,12993.0,False,False
Country of Birth,325,325,From work,14947.0,False,False
Country of Birth,325,325,"Fruit juices, natural ",23.0,False,False
Country of Birth,325,325,"Fruit, dried",52.0,False,False
Country of Birth,325,325,"Fruit, fresh",223.0,False,False
Country of Birth,325,325,Furniture,122.0,False,False
Country of Birth,325,325,Furniture and household equipment,526.0,False,False
Country of Birth,325,325,Gross money income – total,18722.0,False,False
Country of Birth,325,325,Health,771.0,False,False
Country of Birth,325,325,Health insurance,335.0,False,False
Country of Birth,325,325,Home decorations,45.0,False,False
Country of Birth,325,325,Household electrical equipment,207.0,False,False
Country of Birth,325,325,Households in population (thousands),173.2,False,False
Country of Birth,325,325,Housing,4615.0,False,False
Country of Birth,325,325,Income tax,1685.0,False,False
Country of Birth,325,325,Maintenance and renovation,206.0,False,False
Country of Birth,325,325,Meals away from home,478.0,False,False
Country of Birth,325,325,Meat and poultry,423.0,False,False
Country of Birth,325,325,Median of gross money income per household,14900.0,False,False
Country of Birth,325,325,Men's outerwear,167.0,False,False
Country of Birth,325,325,"Milk, milk products, and eggs",302.0,False,False
Country of Birth,325,325,Miscellaneous food products,368.0,False,False
Country of Birth,325,325,Miscellaneous goods and services,955.0,False,False
Country of Birth,325,325,Miscellaneous household articles,106.0,False,False
Country of Birth,325,325,Money expenditure per household,14259.0,False,True
Country of Birth,325,325,Money expenditure per person,4375.3,False,False
Country of Birth,325,325,Monthly rent,2356.0,False,False
Country of Birth,325,325,Mortgage payments (principal+interest)(3),1434.0,False,False
Country of Birth,325,325,Municipal property taxes (Arnona),392.0,False,False
Country of Birth,325,325,National health insurance,606.0,False,False
Country of Birth,325,325,National insurance payments,599.0,False,False
Country of Birth,325,325,Net money income per household,15832.0,True,False
Country of Birth,325,325,Net money income per person,4858.1,False,False
Country of Birth,325,325,"Newspapers, books, and stationery  ",42.0,False,False
Country of Birth,325,325,Non-electrical equipment,112.0,False,False
Country of Birth,325,325,Other expenditures ,73.0,False,False
Country of Birth,325,325,Other expenditures on health,206.0,False,False
Country of Birth,325,325,Personal articles and cosmetics ,118.0,False,False
Country of Birth,325,325,"Postal services, telephone, and communications  ",259.0,False,False
Country of Birth,325,325,Potatoes and sweet potatoes,24.0,False,False
Country of Birth,325,325,Public transport,69.0,False,False
Country of Birth,325,325,Recreation and excursions ,144.0,False,False
Country of Birth,325,325,Soft drinks,74.0,False,False
Country of Birth,325,325,Sugar and sugar products,101.0,False,False
Country of Birth,325,325,Transfers to other households(2),238.0,False,False
Country of Birth,325,325,Transport and communications,2541.0,False,False
Country of Birth,325,325,Travel abroad,701.0,False,False
Country of Birth,325,325,Vegetable oils and products,46.0,False,False
Country of Birth,325,325,Vegetables and fruit,584.0,False,False
Country of Birth,325,325,"Vegetables, fresh",177.0,False,False
Country of Birth,325,325,"Vegetables, frozen",23.0,False,False
