segment_type,segment_value,item_name,expenditure_value,is_income_metric,is_consumption_metric
Income Quintile,1,Academic institutions (incl. The Open University),139.4,False,False
Income Quintile,2,Academic institutions (incl. The Open University),112.0,False,False
Income Quintile,3,Academic institutions (incl. The Open University),157.2,False,False
Income Quintile,4,Academic institutions (incl. The Open University),166.9,False,False
Income Quintile,5,Academic institutions (incl. The Open University),123.3,False,False
Income Quintile,Total,Academic institutions (incl. The Open University),139.7,False,False
Income Quintile,1,Afternoon care for children,54.7,False,False
Income Quintile,2,Afternoon care for children,63.6,False,False
Income Quintile,3,Afternoon care for children,98.1,False,False
Income Quintile,4,Afternoon care for children,97.8,False,False
Income Quintile,5,Afternoon care for children,79.3,False,False
Income Quintile,Total,Afternoon care for children,78.7,False,False
Income Quintile,2,"Air conditioning system, air conditioner, and fan",23.1,False,False
Income Quintile,Total,"Air conditioning system, air conditioner, and fan",35.5,False,False
Income Quintile,1,Alcoholic beverages,34.3,False,False
Income Quintile,2,Alcoholic beverages,43.0,False,False
Income Quintile,3,Alcoholic beverages,46.0,False,False
Income Quintile,4,Alcoholic beverages,66.4,False,False
Income Quintile,5,Alcoholic beverages,100.6,False,False
Income Quintile,Total,Alcoholic beverages,58.1,False,False
Income Quintile,5,Almond milk ,1.9,False,False
Income Quintile,Total,Almond milk ,1.8,False,False
Income Quintile,1,Almonds,3.4,False,False
Income Quintile,2,Almonds,4.0,False,False
Income Quintile,3,Almonds,4.6,False,False
Income Quintile,4,Almonds,7.2,False,False
Income Quintile,5,Almonds,11.4,False,False
Income Quintile,Total,Almonds,6.1,False,False
Income Quintile,3,Alternative medicine,25.1,False,False
Income Quintile,4,Alternative medicine,35.0,False,False
Income Quintile,5,Alternative medicine,49.8,False,False
Income Quintile,Total,Alternative medicine,29.0,False,False
Income Quintile,3,Aluminium foil,1.5,False,False
Income Quintile,Total,Aluminium foil,2.1,False,False
Income Quintile,5,"An attorney for administrative issues – inheritance, wills",41.0,False,False
Income Quintile,Total,"An attorney for administrative issues – inheritance, wills",28.2,False,False
Income Quintile,1,Apples,15.3,False,False
Income Quintile,2,Apples,20.5,False,False
Income Quintile,3,Apples,16.1,False,False
Income Quintile,4,Apples,19.7,False,False
Income Quintile,5,Apples,22.4,False,False
Income Quintile,Total,Apples,18.8,False,False
Income Quintile,2,Apricots,2.6,False,False
Income Quintile,3,Apricots,1.6,False,False
Income Quintile,4,Apricots,1.9,False,False
Income Quintile,5,Apricots,1.8,False,False
Income Quintile,Total,Apricots,1.9,False,False
Income Quintile,5,"Architect, engineer and interior decorator ",48.9,False,False
Income Quintile,Total,"Architect, engineer and interior decorator ",21.2,False,False
Income Quintile,1,At coffee shops,18.3,False,False
Income Quintile,2,At coffee shops,27.4,False,False
Income Quintile,3,At coffee shops,48.8,False,False
Income Quintile,4,At coffee shops,91.9,False,False
Income Quintile,5,At coffee shops,132.4,False,False
Income Quintile,Total,At coffee shops,63.7,False,False
Income Quintile,1,At fast food restaurants,50.5,False,False
Income Quintile,2,At fast food restaurants,75.0,False,False
Income Quintile,3,At fast food restaurants,69.3,False,False
Income Quintile,4,At fast food restaurants,88.6,False,False
Income Quintile,5,At fast food restaurants,102.2,False,False
Income Quintile,Total,At fast food restaurants,77.1,False,False
Income Quintile,1,At kiosks and cafeterias,29.1,False,False
Income Quintile,2,At kiosks and cafeterias,39.4,False,False
Income Quintile,3,At kiosks and cafeterias,35.5,False,False
Income Quintile,4,At kiosks and cafeterias,53.5,False,False
Income Quintile,5,At kiosks and cafeterias,53.4,False,False
Income Quintile,Total,At kiosks and cafeterias,42.2,False,False
Income Quintile,Total,At pubs,8.3,False,False
Income Quintile,1,At restaurants ,99.9,False,False
Income Quintile,2,At restaurants ,170.9,False,False
Income Quintile,3,At restaurants ,241.0,False,False
Income Quintile,4,At restaurants ,335.1,False,False
Income Quintile,5,At restaurants ,588.2,False,False
Income Quintile,Total,At restaurants ,287.1,False,False
Income Quintile,3,At work,20.3,False,False
Income Quintile,4,At work,38.2,False,False
Income Quintile,5,At work,31.9,False,False
Income Quintile,Total,At work,20.0,False,False
Income Quintile,1,Average age of economic head of  household,42.2,False,False
Income Quintile,2,Average age of economic head of  household,47.9,False,False
Income Quintile,3,Average age of economic head of  household,47.8,False,False
Income Quintile,4,Average age of economic head of  household,49.7,False,False
Income Quintile,5,Average age of economic head of  household,54.0,False,False
Income Quintile,Total,Average age of economic head of  household,48.4,False,False
Income Quintile,1,Average earners in household,0.98,False,False
Income Quintile,2,Average earners in household,1.28,False,False
Income Quintile,3,Average earners in household,1.53,False,False
Income Quintile,4,Average earners in household,1.66,False,False
Income Quintile,5,Average earners in household,1.58,False,False
Income Quintile,Total,Average earners in household,1.41,False,False
Income Quintile,1,Average persons in household,4.09,False,False
Income Quintile,2,Average persons in household,3.2,False,False
Income Quintile,3,Average persons in household,3.08,False,False
Income Quintile,4,Average persons in household,2.93,False,False
Income Quintile,5,Average persons in household,2.56,False,False
Income Quintile,Total,Average persons in household,3.17,False,False
Income Quintile,1,Average standard persons in household,3.13,False,False
Income Quintile,2,Average standard persons in household,2.65,False,False
Income Quintile,3,Average standard persons in household,2.6,False,False
Income Quintile,4,Average standard persons in household,2.52,False,False
Income Quintile,5,Average standard persons in household,2.3,False,False
Income Quintile,Total,Average standard persons in household,2.64,False,False
Income Quintile,1,Average years of schooling of economic head of  household,12.9,False,False
Income Quintile,2,Average years of schooling of economic head of  household,13.6,False,False
Income Quintile,3,Average years of schooling of economic head of  household,14.0,False,False
Income Quintile,4,Average years of schooling of economic head of  household,14.7,False,False
Income Quintile,5,Average years of schooling of economic head of  household,15.8,False,False
Income Quintile,Total,Average years of schooling of economic head of  household,14.2,False,False
Income Quintile,1,Avocados,7.6,False,False
Income Quintile,2,Avocados,9.4,False,False
Income Quintile,3,Avocados,10.3,False,False
Income Quintile,4,Avocados,11.3,False,False
Income Quintile,5,Avocados,16.2,False,False
Income Quintile,Total,Avocados,11.0,False,False
Income Quintile,Total,Baby clothes,8.3,False,False
Income Quintile,2,Baby formula,23.7,False,False
Income Quintile,3,Baby formula,16.5,False,False
Income Quintile,Total,Baby formula,25.1,False,False
Income Quintile,1,Baby products  ,6.5,False,False
Income Quintile,Total,Baby products  ,6.2,False,False
Income Quintile,1,Baby room furniture and equipment,25.5,False,False
Income Quintile,2,Baby room furniture and equipment,17.9,False,False
Income Quintile,4,Baby room furniture and equipment,10.8,False,False
Income Quintile,5,Baby room furniture and equipment,13.2,False,False
Income Quintile,Total,Baby room furniture and equipment,16.3,False,False
Income Quintile,1,Bagels,5.0,False,False
Income Quintile,2,Bagels,3.2,False,False
Income Quintile,3,Bagels,4.2,False,False
Income Quintile,4,Bagels,4.4,False,False
Income Quintile,5,Bagels,4.7,False,False
Income Quintile,Total,Bagels,4.3,False,False
Income Quintile,Total,"Bags, backpacks, satchels, and suitcases",10.2,False,False
Income Quintile,1,Baking materials,2.4,False,False
Income Quintile,2,Baking materials,3.5,False,False
Income Quintile,3,Baking materials,2.3,False,False
Income Quintile,4,Baking materials,3.7,False,False
Income Quintile,5,Baking materials,2.8,False,False
Income Quintile,Total,Baking materials,2.9,False,False
Income Quintile,1,Baking paper,1.3,False,False
